area_type,availability,location,bath,balcony,price,total_sqft,bhk
Super built-up  Area,Ready To Move,Mallasandra,2.0,1.0,70.0,1325.0,2.0
Super built-up  Area,18-Apr,Devanahalli,2.0,1.0,59.0,1174.0,2.0
Super built-up  Area,Ready To Move,Hosur Road,3.0,2.0,162.0,1890.0,3.0
Super built-up  Area,Ready To Move,Wilson Garden,1.0,1.0,75.0,735.0,1.0
Built-up  Area,Ready To Move,Sarvabhouma Nagar,1.0,0.0,24.0,500.0,1.0
Super built-up  Area,Ready To Move,Gottigere,3.0,3.0,80.0,1304.0,3.0
Built-up  Area,Ready To Move,Yelahanka,3.0,2.0,120.0,1653.0,3.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2.0,1.0,52.0,1075.0,3.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1.0,42.0,1212.0,2.0
Built-up  Area,Ready To Move,Hoysalanagar,2.0,1.0,50.0,1100.0,2.0
Super built-up  Area,Ready To Move,Rajaji Nagar,6.0,3.0,500.0,3436.0,4.0
Plot  Area,Ready To Move,SMV layout,4.0,0.0,145.0,1200.0,3.0
Super built-up  Area,Ready To Move,Billekahalli,2.0,2.0,50.0,1140.0,2.0
Plot  Area,Ready To Move,Roopena Agrahara,2.0,1.0,100.0,1200.0,2.0
Super built-up  Area,Ready To Move,Kudlu Gate,3.0,2.0,83.0,1532.0,3.0
Plot  Area,Ready To Move,Doddaballapur,4.0,2.0,195.0,2776.0,3.0
Super built-up  Area,Ready To Move,Padmanabhanagar,2.0,0.0,75.0,1531.0,3.0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2.0,2.0,50.79,1270.0,3.0
Super built-up  Area,18-Dec,Uttarahalli,2.0,1.0,53.0,1325.0,2.0
Plot  Area,Ready To Move,CQAL LAYOUT C BLOCK,3.0,1.0,160.0,1200.0,3.0
Super built-up  Area,17-Apr,Electronic City,2.0,2.0,44.0,1156.0,3.0
Plot  Area,Ready To Move,R.T. Nagar,4.0,2.0,320.0,2000.0,4.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2.0,2.0,70.0,1260.0,2.0
Super built-up  Area,Ready To Move,Vittasandra,2.0,0.0,90.0,1934.0,2.0
Super built-up  Area,Ready To Move,Malleshpalya,2.0,1.0,40.0,1060.0,2.0
Super built-up  Area,Ready To Move,Kasavanhalli,3.0,1.0,95.0,1476.0,3.0
Super built-up  Area,Ready To Move,Murugeshpalya,2.0,1.0,85.0,1185.0,2.0
Super built-up  Area,Ready To Move,Channasandra Layout,2.0,1.0,82.0,1265.0,3.0
Built-up  Area,18-May,"Near Electronic City, ",5.0,1.0,150.0,3200.0,4.0
Super built-up  Area,Ready To Move,Virat Nagar,2.0,2.0,56.81,1196.0,2.0
Built-up  Area,Ready To Move,EPIP Zone,2.0,1.0,69.0,1280.0,2.0
Plot  Area,Ready To Move,Marathahalli,4.0,2.0,86.0,800.0,4.0
Built-up  Area,Ready To Move,Hulimavu,2.0,2.0,45.0,1175.0,2.0
Built-up  Area,Ready To Move,Kacharakanahalli,3.0,3.0,98.0,1850.0,3.0
Plot  Area,Ready To Move,Indira Nagar,4.0,2.0,525.0,2400.0,4.0
Super built-up  Area,Ready To Move,Whitefield,2.0,1.0,70.0,1195.0,2.0
Super built-up  Area,Ready To Move,Ulsoor,3.0,3.0,185.0,2000.0,3.0
Carpet  Area,Ready To Move,Veerannapalya,4.0,0.0,100.0,600.0,7.0
Plot  Area,18-Feb,Hebbal Kempapura,5.0,3.0,155.0,800.0,4.0
Super built-up  Area,Ready To Move,Hosur Road,2.0,2.0,36.5,1180.0,2.0
Super built-up  Area,Ready To Move,Jakkur,2.0,1.0,49.87,1050.0,2.0
Built-up  Area,18-Dec,Electronic City,2.0,1.0,40.44,1400.0,3.0
Plot  Area,17-Dec,Bagalakunte,4.0,2.0,150.0,2360.0,4.0
Super built-up  Area,Ready To Move,Banashankari stage 2,2.0,1.0,77.25,1030.0,2.0
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,1.0,2.0,65.01,1512.0,2.0
Built-up  Area,Ready To Move,Subramanyapura,2.0,1.0,48.0,929.0,2.0
Super built-up  Area,Ready To Move,Jigani,3.0,3.0,61.0,1252.0,3.0
Built-up  Area,Ready To Move,Green Glen Layout,3.0,2.0,115.0,1485.0,3.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,2.0,55.0,1124.0,3.0
Plot  Area,Ready To Move,TC Palaya,6.0,3.0,370.0,2400.0,6.0
Built-up  Area,Ready To Move,Indira Nagar,3.0,1.0,120.0,1407.0,3.0
Super built-up  Area,19-Mar,Hennur Road,2.0,3.0,97.0,1482.0,3.0
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2.0,1.0,98.86,1163.0,2.0
Super built-up  Area,Ready To Move,Jalahalli,3.0,2.0,140.0,1570.0,3.0
Super built-up  Area,18-Feb,Whitefield,4.0,2.0,284.0,3480.0,3.0
Super built-up  Area,19-Sep,Chandapura,1.0,1.0,14.04,520.0,1.0
Super built-up  Area,Ready To Move,OLd Gurappanapalya,3.0,2.0,160.0,2000.0,3.0
Super built-up  Area,Ready To Move,Prithvi Layout,2.0,2.0,75.0,1352.0,2.0
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,65.0,1152.0,2.0
Built-up  Area,20-Dec,"ECC Road, Whitefield, ",3.0,2.0,93.0,1575.0,3.0
Super built-up  Area,Ready To Move,Hegde Nagar,4.0,2.0,125.0,1965.0,3.0
Built-up  Area,Ready To Move,Ramanjaneyanagar,2.0,2.0,70.0,1300.0,3.0
Plot  Area,Ready To Move,Sarjapur  Road,4.0,2.0,120.0,1.0,4.0
Super built-up  Area,18-Apr,Marathahalli,2.0,1.0,47.0,957.0,2.0
Super built-up  Area,Ready To Move,Hoskote,3.0,3.0,60.0,1740.0,3.0
Plot  Area,Ready To Move,Kanakpura Road,6.0,3.0,65.0,1080.0,5.0
Super built-up  Area,Ready To Move,Neeladri Nagar,2.0,0.0,35.0,1060.0,2.0
Carpet  Area,Ready To Move,Chikkadunnasandra,2.0,2.0,50.0,975.0,2.0
Super built-up  Area,18-May,Ramamurthy Nagar,2.0,2.0,51.0,1150.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2.0,3.0,79.0,1738.0,3.0
Super built-up  Area,18-May,Bommanahalli,3.0,2.0,55.0,1250.0,3.0
Built-up  Area,Ready To Move,Bannerghatta Road,3.0,2.0,90.0,1788.0,3.0
Super built-up  Area,19-Dec,Kanakapura,2.0,1.0,59.0,1151.0,2.0
Super built-up  Area,Ready To Move,Uttarahalli,2.0,2.0,60.0,1300.0,3.0
Super built-up  Area,Ready To Move,Garudachar Palya,2.0,1.0,52.8,1150.0,2.0
Super built-up  Area,Ready To Move,Akshya Nagar,2.0,1.0,75.0,1380.0,2.0
Super built-up  Area,19-Jun,Hebbal,3.0,2.0,117.0,1645.0,3.0
Super built-up  Area,Ready To Move,Babusapalaya,2.0,1.0,45.9,1141.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,2.0,82.5,1175.0,2.0
Super built-up  Area,Ready To Move,Banashankari Stage V,2.0,1.0,61.0,1355.0,3.0
Built-up  Area,Ready To Move,Dasarahalli,2.0,0.0,70.0,1150.0,2.0
Super built-up  Area,18-May,Indranagar  100ft road defence colony,5.0,2.0,80.0,5800.0,5.0
Built-up  Area,Ready To Move,Canara Bank Colony,2.0,2.0,45.0,1000.0,2.0
Super built-up  Area,20-Jan,Balagere,2.0,1.0,65.0,1007.0,2.0
Super built-up  Area,Ready To Move,Wajid layout thanisandra,5.0,2.0,100.0,3000.0,4.0
Super built-up  Area,Ready To Move,Kothanur,3.0,3.0,70.0,1436.0,3.0
Super built-up  Area,Ready To Move,Marathahalli,4.0,3.0,220.0,4000.0,4.0
Built-up  Area,Ready To Move,Somasundara Palya,3.0,2.0,140.0,2372.0,3.0
Plot  Area,Ready To Move,R.T. Nagar,6.0,2.0,240.0,1500.0,6.0
Super built-up  Area,18-Jan,BTM Layout,3.0,2.0,10.0,1797.5712999999998,3.0
Plot  Area,Ready To Move,Rajaji Nagar,2.0,0.0,150.0,1200.0,2.0
Super built-up  Area,18-Mar,Rayasandra,2.0,1.0,58.0,1016.0,2.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2.0,2.0,48.0,1100.0,2.0
Super built-up  Area,Ready To Move,B Channasandra,2.0,1.0,45.0,1080.0,2.0
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,60.0,1070.0,2.0
Super built-up  Area,Ready To Move,Kadubeesanahalli,3.0,1.0,115.0,1532.0,3.0
Super built-up  Area,Ready To Move,Hennur,2.0,2.0,42.12,1040.0,2.0
Plot  Area,Ready To Move,Laxmi Sagar Layout,3.0,3.0,250.0,3100.0,3.0
Super built-up  Area,21-Jun,Tumkur Road,2.0,0.0,48.905,1137.5,2.0
Super built-up  Area,Ready To Move,Thanisandra,2.0,2.0,51.6,1430.0,3.0
Plot  Area,Ready To Move,Rajaji Nagar,1.0,0.0,163.0,1160.0,2.0
Super built-up  Area,Ready To Move,ITPL,5.0,2.0,205.0,3262.0,4.0
Plot  Area,Ready To Move,Achins Road,7.0,0.0,410.0,2100.0,7.0
Built-up  Area,Ready To Move,Uvce Layout,2.0,2.0,100.0,1190.0,2.0
Super built-up  Area,Ready To Move,Panduranga Nagar,3.0,3.0,100.0,1827.0,3.0
Super built-up  Area,Ready To Move,HRBR Layout,2.0,1.0,75.0,1210.0,2.0
Super built-up  Area,Ready To Move,New Thippasandra,3.0,3.0,95.0,1500.0,3.0
Super built-up  Area,Ready To Move,Rachenahalli,2.0,2.0,53.5,1050.0,2.0
Super built-up  Area,21-Mar,Hebbal,2.0,1.0,88.73,1251.0,2.0
Super built-up  Area,Ready To Move,HSR Layout,2.0,2.0,115.0,1600.0,3.0
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,65.5,1128.0,2.0
Super built-up  Area,Ready To Move,Budigere,3.0,2.0,93.0,1820.0,3.0
Super built-up  Area,Ready To Move,Thigalarapalya,4.0,2.0,159.0,2072.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,3.0,59.0,1510.0,3.0
Super built-up  Area,Ready To Move,Hoodi,2.0,3.0,114.0,1925.0,3.0
Plot  Area,Ready To Move,Hennur Road,2.0,2.0,225.0,2651.0,3.0
Super built-up  Area,Ready To Move,Thigalarapalya,4.0,2.0,147.0,2072.0,3.0
Super built-up  Area,Ready To Move,Kumaraswami Layout,2.0,2.0,36.0,1000.0,2.0
Plot  Area,Ready To Move,KR Puram,3.0,2.0,145.0,1752.0,3.0
Super built-up  Area,Ready To Move,Sahakara Nagar,2.0,3.0,56.0,960.0,2.0
Super built-up  Area,Ready To Move,Gattigere,2.0,2.0,63.0,1180.0,2.0
Built-up  Area,Ready To Move,Benson Town,3.0,1.0,180.0,2270.0,3.0
Built-up  Area,Ready To Move,NRI Layout,2.0,0.0,59.0,650.0,2.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2.0,1.0,75.0,1200.0,2.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2.0,1.0,46.0,1180.0,3.0
Super built-up  Area,18-Jan,Roopena Agrahara,3.0,2.0,47.0,1300.0,3.0
Built-up  Area,Ready To Move,Bannerghatta Road,2.0,0.0,40.0,1157.0,2.0
Super built-up  Area,21-Jan,Kanakpura Road,3.0,2.0,69.0,1300.0,3.0
Super built-up  Area,Ready To Move,Banashankari Stage III,2.0,1.0,59.0,1305.0,3.0
Super built-up  Area,Ready To Move,Hegde Nagar,4.0,2.0,196.0,2006.0,3.0
Super built-up  Area,Ready To Move,Jakkur,2.0,1.0,80.0,1290.0,2.0
Super built-up  Area,Ready To Move,Hoskote,2.0,3.0,45.0,1170.0,2.0
Plot  Area,Ready To Move,Cottonpet,2.0,2.0,135.0,971.0,4.0
Super built-up  Area,Ready To Move,Yelachenahalli,2.0,3.0,78.0,1400.0,2.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2.0,2.0,75.0,1200.0,2.0
Built-up  Area,Ready To Move,Kamakshipalya,2.0,0.0,60.0,1155.0,3.0
Built-up  Area,Ready To Move,Hormavu,3.0,2.0,85.0,1725.0,3.0
Super built-up  Area,21-Oct,Kanakpura Road,2.0,1.0,40.0,700.0,2.0
Built-up  Area,Ready To Move,Yemlur,5.0,2.0,2050.0,7000.0,4.0
Super built-up  Area,22-Jun,Hoodi,2.0,1.0,88.0,1112.0,2.0
Super built-up  Area,Ready To Move,Somasundara Palya,2.0,2.0,78.0,1178.0,2.0
Super built-up  Area,20-Jan,Badavala Nagar,2.0,1.0,81.0,1274.0,2.0
Super built-up  Area,Ready To Move,Doddathoguru,2.0,1.0,32.0,915.0,2.0
Plot  Area,Ready To Move,6th Phase JP Nagar,6.0,2.0,135.0,1650.0,8.0
Super built-up  Area,Ready To Move,Hosur Road,1.0,2.0,21.28,760.0,1.0
Built-up  Area,Ready To Move,Maragondanahalli,3.0,2.0,68.0,1540.0,3.0
Super built-up  Area,Ready To Move,P&T Layout,2.0,3.0,38.5,1206.0,2.0
Super built-up  Area,Ready To Move,Basavanna Nagar,3.0,2.0,95.0,1645.0,3.0
Plot  Area,Ready To Move,Canara Bank Layout,4.0,2.0,170.0,1200.0,4.0
Plot  Area,Ready To Move,singapura paradise,4.0,1.0,140.0,1200.0,4.0
Super built-up  Area,Ready To Move,Nehru Nagar,3.0,2.0,115.0,2342.0,4.0
Super built-up  Area,Ready To Move,Kannur,2.0,1.0,55.0,1200.0,3.0
Super built-up  Area,Ready To Move,Yelenahalli,2.0,2.0,33.0,1056.0,2.0
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,8.0,2.0,225.0,4800.0,8.0
Super built-up  Area,Ready To Move,Kanakpura Road,3.0,3.0,54.3,1450.0,3.0
Super built-up  Area,18-Apr,Thirumenahalli,2.0,2.0,36.69,1161.0,2.0
Super built-up  Area,Ready To Move,Dollars Colony,2.0,3.0,65.0,1097.0,2.0
Built-up  Area,Ready To Move,Uttarahalli,2.0,2.0,35.0,850.0,2.0
Super built-up  Area,Ready To Move,Green Glen Layout,3.0,2.0,115.0,1715.0,3.0
Super built-up  Area,Ready To Move,Basavangudi,3.0,2.0,317.0,2300.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,59.0,1200.0,2.0
Super built-up  Area,18-Oct,8th Phase JP Nagar,2.0,2.0,38.0,1080.0,2.0
Super built-up  Area,Ready To Move,Kasavanhalli,2.0,1.0,50.3,1200.0,2.0
Plot  Area,Ready To Move,4th Block Koramangala,4.0,0.0,550.0,2400.0,4.0
Super built-up  Area,Ready To Move,Banashankari,2.0,1.0,78.0,1400.0,3.0
Plot  Area,Ready To Move,Whitefield,4.0,3.0,200.0,1500.0,4.0
Carpet  Area,20-Dec,Kanakpura Road,1.0,0.0,19.695,458.0,1.0
Super built-up  Area,Ready To Move,Marathahalli,2.0,1.0,57.0,1230.0,2.0
Built-up  Area,Ready To Move,Kalyan nagar,3.0,3.0,88.0,1640.0,3.0
Super built-up  Area,Ready To Move,Banashankari,3.0,2.0,125.0,1700.0,3.0
Super built-up  Area,Ready To Move,Bommasandra,2.0,2.0,44.0,1478.0,3.0
Super built-up  Area,Ready To Move,Defence Colony,4.0,2.0,986.0,6600.0,4.0
Super built-up  Area,Ready To Move,Banashankari,2.0,2.0,40.79,1020.0,2.0
Plot  Area,Ready To Move,Nagarbhavi,2.0,1.0,150.0,1200.0,2.0
Built-up  Area,Ready To Move,Yelahanka,2.0,2.0,95.0,1275.0,3.0
Built-up  Area,Ready To Move,Cambridge Layout,3.0,1.0,165.0,1600.0,4.0
Super built-up  Area,Ready To Move,Kanakapura,2.0,2.0,38.85,1110.0,2.0
Super built-up  Area,Ready To Move,Uttarahalli,3.0,2.0,88.0,1627.86,3.0
Built-up  Area,Ready To Move,Byagadadhenahalli,2.0,1.0,22.0,620.0,2.0
Plot  Area,Ready To Move,Whitefield,4.0,2.0,285.0,3004.0,4.0
Super built-up  Area,18-May,Hosa Road,2.0,1.0,52.0,1133.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,2.0,2.0,82.5,1182.0,2.0
Super built-up  Area,Ready To Move,Tumkur Road,3.0,3.0,100.0,1500.0,3.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,5.0,2.0,360.0,3900.0,4.0
Super built-up  Area,Ready To Move,Marathahalli,2.0,2.0,58.0,1200.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,1.0,48.79,1128.0,2.0
Super built-up  Area,Ready To Move,Malleshwaram,2.0,2.0,293.0,2345.0,3.0
Built-up  Area,Ready To Move,Jayanagar,2.0,2.0,110.0,900.0,2.0
Built-up  Area,Ready To Move,Amruthahalli,2.0,1.0,45.0,1100.0,2.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1.0,1.0,22.0,635.0,2.0
Super built-up  Area,Ready To Move,Ardendale,3.0,2.0,140.0,2062.0,4.0
Built-up  Area,Ready To Move,Thanisandra,4.0,1.0,130.0,1874.0,3.0
Plot  Area,18-Apr,Vidyaranyapura,3.0,2.0,78.0,600.0,4.0
Super built-up  Area,18-Jun,Old Madras Road,2.0,2.0,75.0,1171.0,2.0
Super built-up  Area,Ready To Move,Sarjapur,3.0,3.0,85.0,2020.0,3.0
Super built-up  Area,18-Jan,8th Phase JP Nagar,2.0,2.0,34.5,1059.0,2.0
Super built-up  Area,Ready To Move,Panathur,2.0,1.0,59.1,1315.0,3.0
Super built-up  Area,Ready To Move,Jakkur,3.0,2.0,110.0,1760.0,3.0
Built-up  Area,Ready To Move,Sampangi Rama Nagar,2.0,1.0,125.0,1200.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,2.0,1.0,62.0,1192.0,3.0
Super built-up  Area,19-Jun,Hebbal,3.0,2.0,121.0,1645.0,3.0
Super built-up  Area,Ready To Move,Whitefield,2.0,2.0,72.0,1250.0,2.0
Super built-up  Area,19-Dec,Whitefield,1.0,0.0,34.385,709.0,1.0
Super built-up  Area,Ready To Move,Whitefield,2.0,1.0,77.0,1340.0,2.0
Built-up  Area,Ready To Move,Cooke Town,4.0,3.0,239.0,2388.0,3.0
Super built-up  Area,18-Jun,Hosa Road,2.0,1.0,104.0,1369.1,2.0
Super built-up  Area,Ready To Move,Jalahalli West,2.0,3.0,75.0,1355.0,2.0
Built-up  Area,Ready To Move,Bannerghatta Road,2.0,2.0,65.0,1150.0,2.0
Super built-up  Area,19-Dec,Kanakapura,3.0,3.0,113.0,1938.0,3.0
Super built-up  Area,19-Jun,Begur Road,4.0,3.0,124.0,2462.0,4.0
Super built-up  Area,Ready To Move,Budigere,3.0,2.0,85.0,1636.0,3.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,2.0,75.0,1430.0,3.0
Super built-up  Area,Ready To Move,BEML Layout 5th stage,3.0,2.0,85.0,2000.0,3.0
Carpet  Area,18-May,Electronic City Phase II,2.0,2.0,50.0,993.0,3.0
Plot  Area,Ready To Move,Laggere,4.0,1.0,150.0,1260.0,4.0
Super built-up  Area,Ready To Move,Kanakpura Road,3.0,3.0,88.0,1700.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,2.0,2.0,78.0,1270.0,2.0
Plot  Area,18-Apr,Anjanapura,3.0,1.0,121.0,1500.0,3.0
Built-up  Area,Ready To Move,Koramangala,3.0,3.0,290.0,2300.0,3.0
Plot  Area,18-Mar,Hunasamaranahalli,4.0,2.0,900.0,7500.0,4.0
Super built-up  Area,Ready To Move,Marathahalli,3.0,3.0,86.45,1650.0,3.0
Super built-up  Area,Ready To Move,Panathur,2.0,1.0,63.0,1109.0,2.0
Super built-up  Area,Ready To Move,Pragathi Nagar,2.0,1.0,49.75,1280.0,2.0
Built-up  Area,Ready To Move,Sarjapur,3.0,1.0,185.0,2885.0,4.0
Plot  Area,Ready To Move,Banashankari,9.0,1.0,145.0,1200.0,9.0
Plot  Area,Ready To Move,Devanahalli,3.0,2.0,180.0,1600.0,3.0
Super built-up  Area,Ready To Move,Kothanur,3.0,3.0,71.0,1462.0,3.0
Super built-up  Area,19-Mar,Marathahalli,1.0,1.0,35.0,607.0,1.0
Super built-up  Area,Ready To Move,Kammasandra,2.0,0.0,25.0,930.0,2.0
Plot  Area,17-Nov,Varthur,5.0,2.0,300.0,4500.0,4.0
Plot  Area,Ready To Move,Sahakara Nagar,5.0,2.0,160.0,1200.0,5.0
Super built-up  Area,Ready To Move,Malleshwaram,3.0,1.0,237.0,2600.0,3.0
Super built-up  Area,Ready To Move,JP Nagar,4.0,2.0,140.0,3000.0,4.0
Super built-up  Area,18-May,Electronic City Phase II,3.0,2.0,52.47,1418.0,3.0
Built-up  Area,Ready To Move,Ramesh Nagar,1.0,2.0,160.0,4200.0,2.0
Built-up  Area,Ready To Move,EPIP Zone,2.0,1.0,65.0,1125.0,2.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3.0,2.0,126.0,1825.0,3.0
Super built-up  Area,Ready To Move,Whitefield,2.0,3.0,79.5,1320.0,2.0
Built-up  Area,Ready To Move,JP Nagar,4.0,2.0,140.0,3000.0,4.0
Super built-up  Area,Ready To Move,HAL 2nd Stage,2.0,2.0,300.0,1490.0,3.0
Plot  Area,Ready To Move,8th block Koramangala,3.0,1.0,300.0,1650.0,4.0
Super built-up  Area,20-Dec,Whitefield,2.0,1.0,52.7,750.0,2.0
Super built-up  Area,19-Dec,Yelahanka,2.0,2.0,80.54,1400.0,3.0
Super built-up  Area,Ready To Move,Sathya Sai Layout,4.0,3.0,360.0,4104.0,4.0
Built-up  Area,Ready To Move,Rajaji Nagar,4.0,0.0,375.0,5000.0,4.0
Plot  Area,Ready To Move,Mahadevpura,4.0,2.0,260.0,3295.0,5.0
Plot  Area,Ready To Move,A Narayanapura,3.0,1.0,110.0,1150.0,4.0
Plot  Area,18-Jul,Whitefield,3.0,1.0,61.96,1200.0,3.0
Built-up  Area,Ready To Move,Poorna Pragna Layout,2.0,2.0,48.0,965.0,2.0
Plot  Area,Ready To Move,Gottigere,1.0,1.0,26.0,812.0,1.0
Super built-up  Area,Ready To Move,KR Puram,2.0,2.0,43.0,1100.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2.0,2.0,41.0,1180.0,2.0
Super built-up  Area,Ready To Move,HSR Layout,2.0,2.0,48.0,1145.0,2.0
Super built-up  Area,Ready To Move,Haralur Road,2.0,1.0,44.0,1027.0,2.0
Super built-up  Area,18-Apr,Silk Board,2.0,2.0,49.85,1215.0,2.0
Plot  Area,Ready To Move,Hegde Nagar,2.0,0.0,75.0,1200.0,2.0
Super built-up  Area,Ready To Move,Kenchenahalli,2.0,2.0,58.0,1015.0,2.0
Plot  Area,18-May,Kaggalipura,3.0,1.0,165.0,2400.0,3.0
Plot  Area,Ready To Move,Whitefield,4.0,3.0,306.0,3000.0,4.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,4.0,3.0,160.0,3300.0,3.0
Super built-up  Area,Ready To Move,Puttanahalli,2.0,2.0,52.0,1076.0,2.0
Super built-up  Area,18-Dec,JP Nagar,2.0,1.0,109.0,1300.0,2.0
Built-up  Area,Ready To Move,Hebbal Kempapura,2.0,2.0,102.0,1300.0,2.0
Super built-up  Area,19-Jun,Hosa Road,3.0,1.0,123.0,1512.0,3.0
Carpet  Area,18-Dec,Bhoganhalli,3.0,1.0,88.91,1053.4,3.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1.0,0.0,41.745,605.0,1.0
Super built-up  Area,Ready To Move,Hormavu,2.0,1.0,65.0,1153.0,2.0
Plot  Area,Ready To Move,Virat Nagar,2.0,1.0,150.0,2080.0,2.0
Super built-up  Area,Ready To Move,Hulimavu,2.0,2.0,69.0,1255.0,2.0
Built-up  Area,Ready To Move,Bannerghatta Road,5.0,2.0,260.0,2835.0,4.0
Super built-up  Area,Ready To Move,Marathahalli,3.0,3.0,109.0,1583.0,3.0
Super built-up  Area,Ready To Move,Kundalahalli Colony,2.0,2.0,90.0,1505.0,2.0
Super built-up  Area,Ready To Move,Kathriguppe,2.0,2.0,75.08,1365.0,3.0
Plot  Area,Ready To Move,Dwarka Nagar,3.0,3.0,95.75,1200.0,3.0
Super built-up  Area,Ready To Move,Amblipura,4.0,3.0,148.0,1810.0,3.0
Built-up  Area,Ready To Move,Magadi Road,1.0,0.0,35.0,440.0,1.0
Super built-up  Area,Ready To Move,Subramanyapura,2.0,1.0,63.0,975.0,2.0
Super built-up  Area,Ready To Move,Doddagubbi,2.0,3.0,39.0,1250.0,2.0
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2.0,1.0,97.0,1530.0,3.0
Super built-up  Area,Ready To Move,Kereguddadahalli,2.0,2.0,39.0,1300.0,3.0
Super built-up  Area,Ready To Move,Channasandra,2.0,1.0,40.0,1115.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2.0,1.0,83.0,1308.0,2.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2.0,2.0,47.0,1194.0,2.0
Super built-up  Area,Ready To Move,Uttarahalli,2.0,2.0,59.6,1490.0,3.0
Plot  Area,Ready To Move,Bannerghatta Road,4.0,0.0,450.0,10000.0,4.0
Super built-up  Area,19-Apr,Sarjapur  Road,3.0,1.0,91.0,1592.0,3.0
Super built-up  Area,18-Jun,Rajaji Nagar,2.0,0.0,112.0,1222.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,2.0,42.85,1267.0,2.0
Super built-up  Area,Ready To Move,Balagere,1.0,1.0,53.0,656.0,1.0
Plot  Area,Ready To Move,Dodda Nekkundi,4.0,3.0,530.0,3400.0,4.0
Built-up  Area,Ready To Move,Garudachar Palya,5.0,2.0,400.0,4500.0,4.0
Plot  Area,18-Nov,Chandapura,1.0,1.0,36.0,1200.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,3.0,2.0,102.0,1698.0,3.0
Built-up  Area,Ready To Move,Tata Nagar,3.0,2.0,70.0,1500.0,3.0
Plot  Area,Ready To Move,Sunkadakatte,5.0,0.0,80.0,2000.0,4.0
Super built-up  Area,18-Mar,Electronic City,2.0,1.0,65.75,1152.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1.0,0.0,21.0,550.0,1.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,2.0,2.0,42.0,900.0,2.0
Super built-up  Area,18-Mar,Rajarajeshwari nagar,2.0,2.0,45.12,1410.0,3.0
Built-up  Area,Ready To Move,Akshaya Nagar,2.0,3.0,73.0,1419.0,3.0
Super built-up  Area,Ready To Move,Amruthahalli,2.0,1.0,55.0,1200.0,2.0
Super built-up  Area,Ready To Move,AECS Layout,3.0,3.0,65.0,1800.0,3.0
Super built-up  Area,Ready To Move,Gottigere,2.0,1.0,40.0,990.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2.0,1.0,45.0,1016.0,2.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2.0,0.0,39.0,1100.0,2.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,2.0,1.0,65.0,850.0,4.0
Super built-up  Area,Ready To Move,Whitefield,2.0,1.0,35.0,1095.0,2.0
Super built-up  Area,Ready To Move,Rajarajeshwarinagar,3.0,2.0,85.0,2000.0,3.0
Super built-up  Area,Ready To Move,Budigere,2.0,2.0,70.0,1444.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2.0,3.0,67.0,1415.0,2.0
Plot  Area,Ready To Move,Jinkethimmanahalli,2.0,1.0,130.0,1500.0,3.0
Super built-up  Area,Ready To Move,Daadys Gaarden Layout,3.0,3.0,72.0,1600.0,3.0
Super built-up  Area,Ready To Move,Whitefield,2.0,1.0,41.36,1105.0,2.0
